finding_id,finding_title,original_classification,original_disposition,original_cluster,original_confidence,final_disposition,primary_target,consolidation_parent,pass_resolution,is_survivor,is_mirror,notes
#1,Survey space participates in The World,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Core World-Space Membership,HIGH,Requirement-level,CORE-01,,P1-D5 / P4-D7,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#2,Survey space is recognized as BitPangea World-space,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Survey-to-World Relationship,MEDIUM,Requirement-level,CORE-01,,P1-D5 / P4-D1,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#3,Spatial Ground preserves the permanent distinction within the canonical Survey Domain,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Core World-Space Membership,HIGH,Requirement-level,CORE-03,,P4-D1,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#4,Survey space must not depend on later creations,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Higher-Layer Independence,HIGH,Requirement-level,CORE-06,,P4-D2,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#5,Spatial Ground preserves World-space membership,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,HIGH,Merged,CORE-05a,#20,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#6,Spatial Ground establishes World-space not Parcel space,LAYER BOUNDARY / EXCLUSION,RETAIN AS INDEPENDENT CANDIDATE,Parcel Independence,HIGH,Requirement-level,CORE-05a,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#7,Spatial Ground preserves the continuity of World-space,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,MEDIUM,Merged,CORE-06,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#8,Spatial Ground preserves one canonical World-space membership truth,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Single Canonical Truth,HIGH,Requirement-level,CORE-04,,P4-D15,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#9,Spatial Ground preserves an exact canonical distinction,PRIMITIVE REQUIREMENT CANDIDATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,MEDIUM,Merged,LIM-01,#15,P4-D1,FALSE,FALSE,Item-level target override from Architectural Resolution Passes. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#10,Spatial Ground must preserve World-space in a form,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Reconstruction and Recoverability,MEDIUM,Definition-level,DEF-02,,P4-D1,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#11,Spatial Ground must express World-space membership,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,MEDIUM,Merged,DEF-06,#12,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#12,Survey Authority Remains Below Spatial Ground,FSF DEPENDENCY / DOWNWARD CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Survey Dependency / Downward Contract,HIGH,Downward contract,DOWN-01,,P4-D15,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#13,World-Space Is a Finite Subset of Survey Space,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Survey-to-World Relationship,HIGH,Requirement-level,CORE-02,,P4-D15,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#14,Non-World-Space Remains Valid Survey Space,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,MEDIUM,Merged,CORE-02,#13,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
