finding_id,target_id,relation,half,note
#1,CORE-01,SOURCE-OF,,Item-level override.
#2,CORE-01,SOURCE-OF,,Item-level override.
#2,CORE-02,SOURCE-OF,,Item-level override.
#3,CORE-03,SOURCE-OF,,Item-level override.
#3,CORE-06,SOURCE-OF,,Item-level override.
#4,CORE-06,SPLIT-HALF,permanence,Item-level override.
#4,CORE-05a,SPLIT-HALF,independence,Item-level override.
#5,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#5,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#6,CORE-05a,SOURCE-OF,,Pass #4 cluster target: Parcel Independence.
#6,BOUND-01,SOURCE-OF,,Pass #4 cluster target: Parcel Independence.
#7,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#7,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#8,CORE-04,SOURCE-OF,,Item-level override.
#9,LIM-01,MERGED-INTO,,Item-level override.
#10,DEF-02,SOURCE-OF,,Item-level override.
#11,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#11,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#12,DOWN-01,SOURCE-OF,,Item-level override.
#13,CORE-02,SOURCE-OF,,Item-level override.
#14,CORE-02,MERGED-INTO,,Pass #4 cluster target: Survey-to-World Relationship.
#15,CORE-03a,SOURCE-OF,total,Item-level override.
#15,CORE-03b,SOURCE-OF,two-valued,Item-level override.
#15,CORE-03c,SOURCE-OF,deterministic,Item-level override.
#16,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#16,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#17,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#17,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#18,CORE-07,SOURCE-OF,,Pass #4 cluster target: Representation Independence.
#19,CORE-05c,SOURCE-OF,,Item-level override.
#20,BOUND-01,SOURCE-OF,,Item-level override.
#21,CONST-02,SOURCE-OF,,Item-level override.
#22,CONST-04,SOURCE-OF,,Item-level override.
#23,CORE-05a,SOURCE-OF,,Item-level override.
#23,UP-03,SOURCE-OF,,Item-level override.
#24,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#24,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#24,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#24,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#25,BOUND-01,SOURCE-OF,,Pass #4 cluster target: Layer Boundaries.
#25,Shared Architecture,SOURCE-OF,,Pass #4 cluster target: Layer Boundaries.
#26,CORE-03c,SOURCE-OF,,Item-level override.
#26,CORE-05,SOURCE-OF,,Item-level override.
#27,CORE-05b,SPLIT-HALF,no hidden inputs,Item-level override.
#27,DEF-02,SPLIT-HALF,no hidden rules,Item-level override.
#28,DEF-03,SOURCE-OF,,Item-level override.
#29,CORE-06,SPLIT-HALF,place permanence,Item-level override.
#29,CORE-07,SPLIT-HALF,semantic identity,Item-level override.
#30,BOUND-01,SOURCE-OF,,Item-level override.
#31,CORE-04,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#31,DEF-01,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#32,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#33,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#34,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#34,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#35,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#35,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#36,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#36,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#37,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#37,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#38,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#38,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#39,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#39,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#40,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Rights / Governance Independence.
#41,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#41,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
