finding_id,reading,status,ruling_pass_decision,replacement_reading
#55,Ground defines eligibility for higher spatial meaning.,rejected,P2-D5,Ground supplies membership only; higher layers own eligibility/interpretation.
#97,Connectedness may imply simple connectedness / hole-freedom.,narrowed,P1-D1,World-space must be connected; enclosed non-World-space may exist.
#165,Ground may impose an FSF duty directly.,clause relocated upstream,P2-D7A,Survey sufficiency is a shared dependency assumption; failures route to the owning architecture.
#245,Refinement reveals membership.,superseded,P1-D2,Refinement evaluates already-established membership and never moves the canonical limit.
#259,Empty canonical World-space might be permitted.,narrowed,P1-D3A,"Empty forms may be representable, but the canonical BitPangea instance must be non-empty."
#260,World-space must be a proper subset of Survey Domain.,rejected,P1-D3B,World-space may coincide with Survey Domain; identity is not definitionally assumed.
#1276,Ground may create native spatial machinery when strictly necessary.,clause struck,P2-D1,Ground never patches FSF deficiency; the issue returns to FSF/shared architecture.
#438,A separate constitutional act could affect foundational truth.,clause relocated upstream,P4 cross-decision refinement,Any valid constitutional revision is upstream and outside Ground/Atlas change authority.
#1026,A foundational/architectural governance act may change established World-space.,clause struck,P4 cross-decision refinement,No Ground or Atlas governance mechanism has authority to change established World-space.
#1038,A foundational/architectural governance act may change established World-space.,clause struck,P4 cross-decision refinement,No Ground or Atlas governance mechanism has authority to change established World-space.
#1150,A foundational/architectural governance act may change established World-space.,clause struck,P4 cross-decision refinement,No Ground or Atlas governance mechanism has authority to change established World-space.
#1744,A foundational/architectural governance act may change established World-space.,clause struck,P4 cross-decision refinement,No Ground or Atlas governance mechanism has authority to change established World-space.
#1753,A foundational/architectural governance act may change established World-space.,clause struck,P4 cross-decision refinement,No Ground or Atlas governance mechanism has authority to change established World-space.
#1779,A foundational/architectural governance act may change established World-space.,clause struck,P4 cross-decision refinement,No Ground or Atlas governance mechanism has authority to change established World-space.
#1924,A foundational/architectural governance act may change established World-space.,clause struck,P4 cross-decision refinement,No Ground or Atlas governance mechanism has authority to change established World-space.
