Finding #,Finding Title,Primary Classification,Disposition Recommendation,Proposed Cluster,Related Findings,Confidence,Short Rationale
1,Survey space participates in The World,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Core World-Space Membership,"#2, #3, #90",HIGH,States the layer's core responsibility; direct match to the governing one-sentence definition.
2,Survey space is recognized as BitPangea World-space,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Survey-to-World Relationship,"#1, #13, #93",MEDIUM,Adds that SG recognizes rather than creates space; overlaps #1 but the non-creation point is independent content.
3,Spatial Ground preserves the permanent distinction within the canonical Survey Domain,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Core World-Space Membership,"#1, #14, #15",HIGH,"The ""preserves"" half of the definition: a permanent World / non-World distinction inside the Survey Domain."
4,Survey space must not depend on later creations,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Higher-Layer Independence,"#7, #23, #32, #72",HIGH,Parent of the independence family. Bundles two ideas (permanence; independence from later layers) that review may wish to separate.
5,Spatial Ground preserves World-space membership,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#20, #30, #38",HIGH,"Exclusion of terrain, Regions and visible form; stated more generally by #20."
6,Spatial Ground establishes World-space not Parcel space,LAYER BOUNDARY / EXCLUSION,RETAIN AS INDEPENDENT CANDIDATE,Parcel Independence,"#34, #35, #36",HIGH,Parent of the Parcel exclusion family; establishes reference-without-absorption.
7,Spatial Ground preserves the continuity of World-space,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#4, #3, #22",MEDIUM,"Restates #4's independence list; ""continuity"" is ambiguous (temporal persistence vs. spatial continuity foreshadowing #22)."
8,Spatial Ground preserves one canonical World-space membership truth,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Single Canonical Truth,"#21, #31, #89",HIGH,One canonical membership truth; no competing foundational definitions. Parent of the single-truth family.
9,Spatial Ground preserves an exact canonical distinction,PRIMITIVE REQUIREMENT CANDIDATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#15, #16, #17",MEDIUM,Earliest statement of exactness at the limit; #15 and #16 express the same obligation with more precision.
10,Spatial Ground must preserve World-space in a form,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Reconstruction and Recoverability,"#27, #44, #83",MEDIUM,Constrains the form of the definition (reconstructable from canonical rules). Review must decide: Requirement or anchor of the Preservation framework.
11,Spatial Ground must express World-space membership,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#12, #24, #47",MEDIUM,"Special case of #12 for precision; the ""exact refinement wherever needed"" clause is the only independent content."
12,Survey Authority Remains Below Spatial Ground,FSF DEPENDENCY / DOWNWARD CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Survey Dependency / Downward Contract,"#11, #24, #47, #88",HIGH,"Strongest general statement of the downward contract: reference FSF, never redefine or duplicate it."
13,World-Space Is a Finite Subset of Survey Space,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Survey-to-World Relationship,"#2, #14, #28",HIGH,"Containment of World-space within the Survey Domain, and non-identity of the two, is not derivable elsewhere."
14,Non-World-Space Remains Valid Survey Space,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#13, #3, #98",MEDIUM,"Follows from #13 plus #12 (SG cannot alter Survey validity); also clarifies the meaning of ""non-World-space""."
15,World Membership Is Exact,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Exact Membership and Boundary Resolution,"#9, #16, #61",HIGH,"Total, deterministic, two-valued membership for every representable location. Strongest exactness statement."
16,Boundary Membership Must Be Unambiguous,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#15, #9, #17",MEDIUM,Boundary locations are a case of #15. The call for an explicit inclusion rule is an obligation on Specification.
17,"The Boundary Is Consequential, Not Independent",DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#8, #16, #59",MEDIUM,Boundary as consequence of the definition follows from single-truth (#8) and non-redundancy (#59).
18,No Materialized Inventory Is Required,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Representation Independence,"#19, #28, #58",MEDIUM,Constrains the form of the definition (resolvable vs. enumerated inventory); guidance to Specification more than an SG obligation.
19,Materialization May Be Derived,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Operational Non-Authority,"#8, #49, #78",MEDIUM,"Parent of the non-authority family. Arguably derivable from #8, but #8 addresses higher systems while this addresses implementation artifacts."
20,Spatial Ground Introduces No New Spatial Semantics,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Minimality and Semantic Restraint,"#5, #30, #37, #98",HIGH,"Semantic neutrality. Parent of most ""must not encode X"" exclusions."
21,One World Means One World-Space,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,One World / Singular World-Space,"#8, #22, #92",MEDIUM,"Singular World-space; no parallel canonical Worlds. #92 indicates singularity itself is constitutional, so SG's share may be only non-permission."
