register,entry_id,parent_obligation_ids,native_or_mirror,deferred_until,source_findings
Governance Method Annex,Inquiry Method and Framework Sequencing,,Mixed / traced,As required by owning framework,"#294, #295, #296, #297, #298, #299, #300, #400, #401, #402, #403, #404, #405, #406, #407, #414, #415, #426, #429, #549, #550, #650, #689, #692, #693, #694, #695, #696, #697, #700, #708, #710, #898, #929, #930, #931, #932, #935, #936, #937, #938, #939, #940, #941, #942, #945, #1006, #1007, #1008, #1009, #1010, #1011, #1210, #1211, #1212, #1213, #1214, #1215, #1216, #1217, #1218, #1219, #1220, #1221, #1222, #1223, #1224, #1225, #1226, #1227, #1228, #1229, #1230, #1231, #1232, #1233, #1234, #1235, #1236, #1237, #1238, #1239, #1240, #1241, #1242, #1243, #1244, #1245, #1246, #1249, #1250, #1251, #1252, #1253, #1254, #1255, #1256, #1257, #1258, #1259, #1260, #1261, #1262, #1263, #1264, #1265, #1266, #1267, #1268, #1269, #1271, #1272, #1273, #1274, #1275, #1276, #1277, #1300, #1301, #1302, #1303, #1304, #1305, #1309, #1310, #1322, #1323, #1324, #1325, #1326, #1343, #1450, #1454, #1455, #1456, #1534, #1896, #1905, #1906, #2056, #2057"
Historical,Inquiry Method and Framework Sequencing,,Mixed / traced,As required by owning framework,"#294, #295, #296, #297, #298, #299, #300, #400, #401, #402, #403, #404, #405, #406, #407, #414, #415, #426, #429, #549, #550, #650, #689, #692, #693, #694, #695, #696, #697, #700, #708, #710, #898, #929, #930, #931, #932, #935, #936, #937, #938, #939, #940, #941, #942, #945, #1006, #1007, #1008, #1009, #1010, #1011, #1210, #1211, #1212, #1213, #1214, #1215, #1216, #1217, #1218, #1219, #1220, #1221, #1222, #1223, #1224, #1225, #1226, #1227, #1228, #1229, #1230, #1231, #1232, #1233, #1234, #1235, #1236, #1237, #1238, #1239, #1240, #1241, #1242, #1243, #1244, #1245, #1246, #1249, #1250, #1251, #1252, #1253, #1254, #1255, #1256, #1257, #1258, #1259, #1260, #1261, #1262, #1263, #1264, #1265, #1266, #1267, #1268, #1269, #1271, #1272, #1273, #1274, #1275, #1276, #1277, #1300, #1301, #1302, #1303, #1304, #1305, #1309, #1310, #1322, #1323, #1324, #1325, #1326, #1343, #1450, #1454, #1455, #1456, #1534, #1896, #1905, #1906, #2056, #2057"
Governance Register,Change Control and Permanence,CORE-06,Mixed / traced,As required by owning framework,"#7, #71, #72, #73, #132, #133, #135, #136, #142, #186, #188, #266, #267, #324, #325, #326, #327, #328, #329, #330, #332, #392, #393, #394, #395, #396, #397, #398, #419, #420, #421, #424, #425, #430, #431, #432, #491, #596, #599, #600, #601, #668, #669, #670, #682, #683, #684, #685, #686, #687, #688, #718, #755, #779, #853, #854, #855, #856, #857, #863, #876, #893, #894, #962, #966, #1000, #1003, #1004, #1042, #1043, #1104, #1285, #1361, #1390, #1398, #1399, #1400, #1401, #1482, #1483, #1484, #1491, #1492, #1495, #1498, #1499, #1504, #1506, #1551, #1552, #1553, #1560, #1598, #1599, #1606, #1607, #1608, #1609, #1618, #1619, #1620, #1621, #1642, #1704, #1714, #1715, #1743, #1752, #1800, #1872, #1873, #1916, #1948, #1968, #1978, #2009, #2097, #2098, #2099"
Preservation Register,Preservation and Archival Survival,,Mixed / traced,As required by owning framework,"#69, #83, #126, #127, #128, #129, #145, #147, #148, #200, #203, #206, #390, #410, #456, #457, #458, #538, #577, #578, #579, #604, #605, #609, #611, #653, #654, #657, #661, #663, #730, #961, #978, #981, #982, #984, #992, #994, #998, #1012, #1013, #1030, #1031, #1036, #1056, #1057, #1058, #1346, #1347, #1348, #1349, #1351, #1352, #1353, #1354, #1355, #1356, #1367, #1369, #1371, #1372, #1375, #1379, #1380, #1385, #1471, #1472, #1473, #1474, #1475, #1493, #1532, #1565, #1574, #1576, #1580, #1587, #1649, #1685, #1686, #1688, #1691, #1697, #1698, #1699, #1700, #1701, #1702, #1705, #1723, #1726, #1731, #1746, #1749, #1750, #1756, #1880, #1991"
Governance Register,Institutional Authority and Adoption,IF-01,Mixed / traced,As required by owning framework,"#154, #155, #156, #219, #349, #350, #351, #354, #355, #377, #388, #389, #450, #451, #452, #453, #503, #504, #505, #506, #507, #508, #509, #510, #554, #677, #706, #729, #915, #965, #979, #1028, #1047, #1099, #1434, #1517, #1601, #1602, #1603, #1605, #1612, #1689, #1690, #1734, #1735, #1737, #1740, #1741, #1744, #1754, #1755, #1757, #1762, #1917, #1918, #1919, #1920, #1963, #1964, #1976, #1977, #1983, #1989, #2065, #2068, #2069, #2070, #2076, #2089"
Conformance Register,Testing and Adversarial Review,,Mixed / traced,As required by owning framework,"#85, #192, #193, #199, #257, #514, #515, #516, #517, #518, #519, #520, #521, #633, #634, #635, #636, #637, #638, #639, #640, #641, #642, #643, #644, #649, #837, #838, #948, #951, #952, #953, #954, #955, #956, #957, #958, #960, #963, #1184, #1299, #1389, #1446, #1447, #1448, #1563, #1564, #1567, #1568, #1570, #1571, #1573, #1575, #1577, #1578, #1579, #1581, #1736, #2071, #2073, #2074, #2091"
Shared Architecture,Layer Boundaries,BOUND-01,Mixed / traced,As required by owning framework,"#25, #51, #262, #263, #264, #265, #273, #274, #275, #276, #293, #334, #335, #336, #337, #338, #339, #340, #346, #461, #465, #548, #575, #731, #732, #734, #750, #782, #783, #899, #1001, #1044, #1045, #1247, #1420, #1449, #1502, #1509, #1510, #1514, #1639, #1648, #1653, #1654, #1775, #1776, #1777, #1868, #1869, #1870, #1871, #1875, #1891, #1893, #1894, #1895, #2003, #2050"
Preservation Register,Reconstruction and Recoverability,DEF-02,Mixed / traced,As required by owning framework,"#10, #44, #84, #196, #204, #369, #466, #522, #542, #595, #655, #656, #711, #712, #768, #775, #845, #846, #847, #848, #850, #881, #976, #977, #989, #990, #993, #1097, #1098, #1344, #1350, #1359, #1386, #1387, #1435, #1561, #1562, #1569, #1572, #1582, #1585, #1622, #1623, #1706, #1710, #1711, #1712, #1913, #1914, #1992, #1993, #2058, #2083, #2084, #2085, #2093, #2100"
Terminology Register,Terminology Discipline,,Mixed / traced,As required by owning framework,"#149, #225, #399, #469, #470, #471, #472, #473, #474, #476, #477, #478, #479, #480, #551, #561, #703, #832, #1049, #1052, #1053, #1054, #1060, #1061, #1062, #1063, #1064, #1065, #1066, #1067, #1068, #1069, #1377, #1378, #1459, #1464, #1465, #1466, #1467, #1476, #1477, #1478, #1480, #1520, #1521, #1522, #1523, #1526, #2015, #2016, #2017, #2018, #2072"
Conformance Register,Conformance and Validation,DEF-04,Mixed / traced,As required by owning framework,"#62, #64, #86, #120, #191, #198, #448, #543, #598, #618, #619, #620, #621, #628, #629, #630, #647, #807, #819, #820, #875, #884, #901, #902, #906, #907, #909, #922, #923, #924, #925, #926, #927, #933, #934, #947, #949, #950, #968, #969, #1340, #1384, #1388, #1433, #1442, #1877, #1912, #1973, #1975, #1988, #2047, #2087"
Conformance Register,Failure Semantics,CORE-03b,Mixed / traced,As required by owning framework,"#60, #61, #66, #118, #119, #195, #249, #251, #252, #253, #254, #255, #258, #305, #306, #383, #384, #525, #585, #623, #624, #625, #626, #658, #804, #808, #810, #1075, #1076, #1079, #1080, #1083, #1085, #1334, #1335, #1558, #1559, #1615, #1616, #1617, #1884, #1889, #1890, #1957, #1974, #2060, #2061, #2062, #2092"
Governance Register,Historical Traceability,,Mixed / traced,As required by owning framework,"#130, #134, #391, #408, #409, #671, #672, #673, #674, #675, #680, #681, #698, #699, #724, #726, #727, #728, #849, #943, #944, #964, #988, #1286, #1290, #1357, #1363, #1457, #1458, #1460, #1479, #1546, #1554, #1555, #1556, #1557, #1719, #2033"
Preservation Register,Historical Traceability,,Mixed / traced,As required by owning framework,"#130, #134, #391, #408, #409, #671, #672, #673, #674, #675, #680, #681, #698, #699, #724, #726, #727, #728, #849, #943, #944, #964, #988, #1286, #1290, #1357, #1363, #1457, #1458, #1460, #1479, #1546, #1554, #1555, #1556, #1557, #1719, #2033"
